N,P,K,temperature,humidity,ph,rainfall,label
33.44,13.58,31.7,28.45,95.66,5.65,177.41,coconut
4.76,60.66,33.78,21.7,60.17,6.72,32.85,lentil
14.43,30.1,17.42,20.59,89.48,6.59,97.41,orange
55.83,80.07,58.88,32.73,92.02,6.49,118.25,papaya
14.26,62.69,29.44,27.78,43.75,6.04,116.93,pigeonpeas
15.86,16.23,12.11,18.95,95.12,7.65,106.54,orange
74.86,41.29,25.92,22.67,76.45,7.08,267.43,rice
101.3,12.74,41.81,30.87,86.01,6.04,16.17,muskmelon
12.41,82.47,27.46,26.05,57.08,5.25,125.26,pigeonpeas
114.65,0.42,47.95,26.31,88.49,6.55,33.97,muskmelon
24.82,16.78,27.4,25.34,90.75,5.45,185.13,coconut
82.07,42.59,41.01,24.62,73.0,6.77,141.79,jute
120.3,95.47,64.44,27.87,80.16,6.35,114.64,banana
42.14,55.82,33.85,27.09,64.67,7.32,59.72,blackgram
60.78,52.92,48.64,35.36,97.86,6.49,190.99,papaya
88.14,92.16,45.97,22.54,69.75,6.5,112.33,banana
125.22,63.81,34.64,22.27,81.52,6.33,92.37,cotton
104.64,28.39,64.14,24.91,85.7,6.94,31.99,watermelon
7.56,4.63,8.98,21.52,96.25,7.3,122.1,orange
80.97,27.15,49.42,28.31,53.89,6.88,149.95,coffee
58.38,62.77,76.51,18.94,14.48,7.62,55.76,chickpea
79.25,42.61,30.92,23.27,85.78,6.45,190.9,rice
17.03,37.72,22.56,32.96,54.12,7.3,33.32,mothbeans
12.21,5.53,9.23,19.4,96.53,7.16,108.6,orange
15.49,21.07,36.55,31.77,39.41,5.63,112.55,mango
91.8,19.93,45.16,20.72,41.46,6.34,111.49,coffee
24.29,23.04,18.7,28.43,59.8,7.15,56.99,mothbeans
29.74,65.62,20.86,25.76,63.6,7.26,73.05,blackgram
5.19,19.18,56.94,21.61,88.54,6.15,124.97,pomegranate
72.16,50.49,14.37,17.37,50.55,6.6,59.39,maize
19.71,39.69,7.46,29.04,73.09,5.88,49.61,mothbeans
112.13,53.61,7.95,22.75,69.37,6.62,89.63,cotton
21.73,45.86,46.95,34.72,94.45,6.89,132.41,papaya
8.91,70.06,31.91,36.09,44.76,6.05,167.09,pigeonpeas
22.38,33.11,28.43,29.72,47.36,6.03,48.26,mothbeans
12.67,56.68,19.46,15.85,24.41,6.29,93.4,kidneybeans
128.86,27.4,19.89,24.58,40.19,6.78,170.52,coffee
45.38,72.16,39.15,35.56,59.51,7.75,73.36,blackgram
27.51,63.24,20.66,23.61,74.03,6.55,36.94,lentil
13.02,13.71,31.62,26.14,100.0,5.56,204.49,coconut
79.88,59.8,40.77,22.42,89.62,6.47,188.51,rice
16.77,12.9,8.76,21.01,93.4,6.32,130.74,orange
143.71,6.78,39.17,28.7,100.0,6.07,22.87,muskmelon
130.4,23.9,41.7,24.15,81.82,7.12,32.96,watermelon
26.28,64.81,17.9,18.07,23.74,5.23,127.29,kidneybeans
92.55,24.38,54.06,22.56,79.17,5.92,52.26,watermelon
116.09,73.47,59.65,29.11,89.26,5.83,78.05,banana
27.97,60.34,25.12,26.24,50.59,5.23,152.56,pigeonpeas
0.59,21.13,16.03,31.29,40.47,5.3,56.85,mothbeans
111.78,64.22,57.15,26.3,83.54,6.31,132.16,banana
73.24,67.86,27.05,27.92,86.08,7.46,135.29,jute
137.24,47.7,21.6,28.33,83.48,7.52,47.1,cotton
27.59,13.95,37.02,24.08,87.36,6.4,114.98,pomegranate
26.74,61.31,0.0,25.5,39.69,4.98,112.88,pigeonpeas
48.07,55.26,84.76,20.52,21.3,8.4,85.89,chickpea
78.56,51.49,14.37,22.86,77.17,5.99,121.25,maize
25.16,18.87,21.57,24.67,94.84,5.83,228.93,coconut
31.41,26.06,32.38,19.78,90.73,6.12,140.85,pomegranate
71.36,42.25,16.98,20.45,88.83,7.02,220.04,rice
17.72,80.91,25.43,26.45,43.84,5.63,162.85,pigeonpeas
33.95,131.01,208.26,23.32,90.33,5.73,60.79,grapes
39.78,76.22,18.51,31.19,67.81,7.24,64.2,blackgram
21.71,11.3,33.32,28.02,92.28,5.97,205.91,coconut
38.49,63.05,91.34,20.78,1.3,7.56,82.92,chickpea
45.05,71.27,10.08,24.49,59.03,6.84,78.55,blackgram
17.64,19.85,31.63,24.06,95.38,5.46,198.48,coconut
83.66,34.36,9.76,26.49,68.2,6.25,121.93,maize
100.18,72.19,57.4,32.04,81.71,6.77,69.49,banana
25.95,49.22,22.13,26.98,55.96,6.74,55.49,mothbeans
99.14,87.48,36.61,24.77,79.42,6.76,97.72,banana
38.91,57.14,8.95,18.91,24.61,5.61,134.07,kidneybeans
30.14,19.89,53.18,15.57,87.78,6.28,104.71,pomegranate
44.04,64.76,70.96,19.97,10.1,7.78,73.03,chickpea
28.31,24.22,17.29,29.18,97.13,5.52,214.97,coconut
14.61,14.02,4.35,20.53,86.35,6.95,88.54,orange
25.45,69.09,17.54,23.65,40.91,6.07,186.87,pigeonpeas
92.28,77.43,53.39,28.37,64.78,6.41,128.73,banana
77.01,70.71,59.72,29.62,81.82,5.31,92.83,banana
22.26,136.89,206.1,26.26,82.25,6.17,131.67,apple
19.96,71.69,11.27,16.84,24.48,6.04,99.12,kidneybeans
103.5,17.97,53.14,27.72,92.05,6.17,18.99,muskmelon
27.53,46.92,35.59,31.08,81.73,6.71,47.53,mungbean
7.2,32.83,21.28,25.32,57.11,6.82,26.38,mothbeans
25.21,30.84,40.2,28.07,97.09,5.75,162.29,coconut
63.95,24.74,14.46,22.82,64.95,6.18,92.04,maize
4.94,134.92,188.69,19.11,92.0,5.86,83.76,apple
6.78,9.37,15.4,26.07,95.37,5.8,160.26,coconut
21.4,94.85,22.94,17.06,25.61,5.89,113.4,kidneybeans
12.2,58.04,25.32,26.34,61.01,6.55,40.62,mothbeans
12.27,44.32,22.91,34.28,77.44,7.16,57.73,mungbean
12.01,70.19,26.91,24.51,74.22,6.41,49.68,lentil
116.02,24.51,49.36,21.24,80.01,6.61,54.11,watermelon
25.78,46.12,28.06,29.55,85.13,6.58,47.19,mungbean
14.9,69.58,3.3,24.66,47.75,5.35,121.9,pigeonpeas
10.77,48.13,5.65,21.58,42.33,6.78,134.22,pigeonpeas
20.62,59.06,18.67,27.31,30.97,6.03,120.61,pigeonpeas
6.85,63.24,33.29,18.06,22.15,5.2,92.67,kidneybeans
77.49,41.47,29.65,19.73,65.95,6.1,85.57,maize
88.65,43.52,59.4,26.48,86.23,6.47,201.45,jute
26.91,34.8,81.84,24.4,22.19,7.38,72.63,chickpea
17.03,129.19,208.35,23.01,94.5,6.1,129.69,apple
20.45,5.49,10.2,22.49,92.64,6.91,132.76,orange
130.24,48.9,38.66,25.21,79.15,6.56,68.84,cotton
75.67,48.23,31.73,26.56,89.66,6.15,246.07,rice
22.17,12.57,30.8,27.24,91.13,5.74,176.93,coconut
19.9,149.38,204.29,25.02,81.36,5.97,66.05,grapes
10.64,53.86,14.95,21.17,60.62,6.81,53.37,lentil
126.2,25.22,58.08,24.64,92.57,6.41,49.62,watermelon
33.25,144.16,201.56,20.21,75.85,6.04,62.5,grapes
19.51,142.48,189.31,25.04,80.08,5.7,108.79,grapes
20.01,65.34,24.91,30.13,66.34,7.56,60.45,blackgram
23.92,23.08,48.12,22.33,100.0,5.99,72.79,pomegranate
58.85,80.43,75.11,15.64,16.7,6.59,84.85,chickpea
19.21,23.95,29.58,26.63,90.25,6.21,158.7,coconut
59.42,23.86,31.77,22.16,57.65,6.82,72.89,maize
13.33,42.34,17.19,23.32,70.72,6.34,29.8,lentil
34.32,123.26,198.88,22.64,76.16,5.87,86.62,grapes
111.73,16.48,49.86,21.68,83.5,6.19,54.6,watermelon
84.53,40.51,30.69,25.95,81.09,6.38,139.04,jute
113.82,33.34,33.27,27.6,58.71,7.19,165.35,coffee
105.95,40.84,30.47,19.55,44.4,7.09,135.75,coffee
18.12,65.38,8.41,17.1,20.75,6.75,82.76,kidneybeans
68.65,61.75,25.53,24.33,76.52,6.24,168.0,jute
13.3,43.6,22.46,26.43,63.82,7.01,50.47,mothbeans
15.97,64.18,22.78,16.54,17.62,5.71,83.26,kidneybeans
88.38,95.68,69.67,26.88,86.25,5.58,121.5,banana
17.58,61.71,25.85,19.01,22.58,5.89,74.29,kidneybeans
29.8,19.59,47.48,30.37,92.97,6.9,175.61,coconut
57.47,67.23,30.2,31.76,96.75,6.81,112.09,papaya
45.67,55.05,49.24,32.01,84.97,6.48,139.56,papaya
15.59,46.68,27.56,29.5,80.61,7.0,41.62,mungbean
16.16,22.67,51.86,30.26,55.88,5.8,58.03,mango
19.47,26.3,44.22,20.76,81.49,6.08,110.76,pomegranate
118.2,21.26,43.83,28.61,91.03,6.61,39.2,watermelon
31.71,74.97,22.25,23.28,22.86,5.86,103.94,kidneybeans
64.02,36.95,15.12,22.25,63.45,6.56,83.59,maize
32.78,132.17,185.83,23.1,93.22,5.66,123.47,apple
39.63,71.6,28.72,26.76,49.26,7.09,72.11,blackgram
48.97,62.31,71.09,12.54,12.4,7.22,65.19,chickpea
16.06,131.7,204.87,26.3,82.72,6.13,71.27,grapes
20.58,137.31,190.64,20.77,76.38,6.82,77.96,grapes
120.48,75.7,55.74,26.67,79.08,5.69,133.31,banana
125.67,63.53,30.74,23.31,82.84,6.77,110.82,cotton
67.62,41.79,44.13,23.31,77.89,6.32,239.8,rice
19.67,24.53,35.55,21.56,89.77,6.03,104.73,pomegranate
14.65,44.39,11.53,20.51,86.0,6.94,50.62,mungbean
92.9,111.43,57.24,34.11,86.98,6.1,106.03,banana
75.63,40.35,34.16,29.09,81.13,5.91,161.99,jute
12.8,33.67,22.8,25.47,85.51,6.51,30.19,mungbean
79.26,46.75,11.02,24.53,64.33,6.55,90.78,maize
39.81,61.11,91.24,21.84,12.14,7.46,65.43,chickpea
44.2,56.13,75.63,21.17,14.14,7.99,74.01,chickpea
32.48,60.74,91.48,19.34,8.81,7.67,69.98,chickpea
23.8,133.78,198.18,27.49,94.47,5.51,116.97,apple
60.2,63.31,51.79,23.59,73.43,6.88,225.42,rice
19.33,50.5,12.63,14.99,22.04,5.73,90.57,kidneybeans
61.05,74.62,79.45,33.75,88.68,6.88,135.34,papaya
99.18,37.28,20.4,24.33,56.39,6.31,139.5,coffee
41.65,51.18,16.13,31.53,56.59,6.09,64.82,blackgram
24.85,85.57,10.95,19.42,16.37,5.92,86.63,kidneybeans
21.87,32.99,38.53,29.52,52.27,6.19,118.31,mango
11.01,30.78,54.6,33.34,43.09,6.25,88.67,mango
29.37,21.64,32.56,23.54,91.67,5.43,124.62,coconut
53.15,44.5,40.34,30.56,88.68,6.15,147.09,papaya
19.76,135.25,196.64,22.81,84.45,5.62,98.46,apple
31.54,58.56,90.3,18.0,13.98,6.92,86.35,chickpea
9.78,19.87,43.86,16.29,94.64,5.69,95.44,pomegranate
34.92,63.52,75.47,23.36,17.63,7.42,89.33,chickpea
104.61,19.33,52.14,29.47,92.28,6.4,34.57,muskmelon
0.0,145.79,207.95,28.02,98.19,6.53,129.57,apple
87.62,18.81,61.18,24.49,91.25,5.71,21.85,muskmelon
93.55,30.42,37.33,25.03,88.57,6.06,22.86,muskmelon
25.13,19.13,20.22,29.48,51.92,6.39,54.05,mango
20.16,23.0,63.77,33.03,46.73,5.38,57.39,mango
107.38,62.83,8.1,26.15,79.39,7.66,85.11,cotton
24.45,0.0,19.73,27.34,94.41,5.81,184.22,coconut
23.93,27.3,30.9,20.02,91.47,6.68,66.45,pomegranate
88.21,42.98,37.82,28.3,86.13,6.61,282.22,rice
105.92,10.55,45.41,27.47,84.33,5.72,20.19,muskmelon
102.54,21.7,30.96,18.1,59.36,5.83,177.2,coffee
28.31,52.1,49.47,33.76,85.43,6.65,124.06,papaya
17.44,61.43,22.89,25.41,52.75,6.81,55.67,mothbeans
94.24,25.15,0.0,26.74,52.06,6.19,61.6,maize
17.69,28.83,20.08,31.32,51.2,5.2,114.91,mango
98.3,29.79,56.73,28.92,90.0,6.17,36.25,muskmelon
22.01,63.06,13.95,31.19,61.24,5.56,131.63,pigeonpeas
22.79,43.75,26.78,27.65,83.08,6.92,56.76,mungbean
97.95,23.96,38.57,25.58,76.05,6.86,136.23,coffee
9.39,124.65,198.06,26.0,82.94,6.64,54.47,grapes
15.74,12.32,18.31,23.38,96.16,5.99,175.26,coconut
107.0,46.43,28.54,22.96,66.48,6.82,77.66,cotton
14.73,69.54,12.14,27.24,51.57,5.63,155.11,pigeonpeas
83.05,37.44,25.78,23.06,76.59,7.04,265.27,rice
33.84,135.4,195.7,25.97,91.83,5.99,111.14,apple
14.69,13.24,28.74,20.83,82.63,6.78,108.1,pomegranate
106.79,24.39,27.8,28.46,52.47,7.11,187.78,coffee
37.08,49.37,88.83,18.77,15.1,8.58,84.48,chickpea
139.21,61.41,13.15,24.33,84.05,7.51,90.78,cotton
85.28,50.09,33.16,25.01,87.64,6.31,126.21,jute
12.28,29.13,29.9,30.48,60.71,5.52,68.01,mango
94.22,61.29,61.68,24.67,75.73,5.84,105.44,banana
40.31,58.42,41.95,37.67,95.95,6.91,172.9,papaya
12.27,132.37,206.79,16.38,94.61,5.68,108.14,apple
30.78,81.15,76.78,22.65,23.61,7.7,73.53,chickpea
89.24,50.93,36.9,25.98,75.74,6.66,222.6,rice
19.25,78.26,9.7,21.41,43.33,6.32,104.42,pigeonpeas
7.74,43.04,22.41,28.53,38.25,6.35,49.23,mothbeans
0.0,36.43,10.99,27.23,82.31,7.02,29.41,mungbean
86.61,40.52,20.88,24.56,73.22,6.78,145.32,jute
7.78,35.73,39.78,20.77,92.94,6.78,125.92,pomegranate
28.68,141.28,202.08,16.94,82.09,6.49,77.91,grapes
22.69,42.73,13.41,25.84,69.4,6.8,59.39,mothbeans
75.93,32.09,36.0,24.8,76.86,6.97,197.99,jute
89.88,60.1,18.58,19.81,51.97,5.93,84.34,maize
14.3,10.93,7.43,30.21,98.78,5.49,169.3,coconut
78.52,49.19,17.68,24.07,65.57,5.97,104.84,maize
35.5,65.01,86.01,14.67,4.52,7.08,61.69,chickpea
82.44,84.02,34.43,27.12,72.89,6.18,81.51,banana
68.11,43.93,29.65,23.34,76.01,7.18,231.41,rice
9.61,28.03,41.93,26.44,94.92,5.89,224.31,coconut
66.33,59.25,36.17,26.69,82.68,6.36,160.33,jute
22.11,21.41,34.67,29.37,45.96,5.19,113.53,mango
115.82,25.2,61.69,25.0,85.89,5.96,35.68,muskmelon
14.88,135.08,192.87,22.68,91.5,5.99,102.81,apple
115.85,91.67,57.19,32.46,79.58,6.26,88.31,banana
25.86,67.89,6.76,23.16,47.02,5.85,116.09,pigeonpeas
44.35,67.4,30.03,31.37,72.76,7.23,48.55,blackgram
19.57,15.13,15.16,18.07,80.58,6.91,119.37,orange
38.52,60.34,64.05,20.54,13.34,6.83,36.92,chickpea
99.22,19.25,46.55,25.68,82.04,7.01,48.64,watermelon
69.62,83.58,50.33,26.75,84.96,6.3,105.96,banana
19.6,144.72,201.78,19.62,88.44,6.14,137.97,apple
42.25,74.33,65.82,13.72,8.37,7.81,71.72,chickpea
115.85,32.46,11.99,23.98,76.43,6.95,159.2,coffee
5.04,61.11,21.52,28.8,43.92,5.82,75.35,pigeonpeas
2.89,16.95,4.42,22.51,86.29,6.53,142.1,orange
21.32,139.66,188.72,25.82,84.2,6.75,103.77,apple
15.63,17.17,25.72,24.13,100.0,5.43,180.5,coconut
66.14,52.98,57.09,33.49,83.82,6.33,138.25,papaya
78.67,22.45,50.14,26.82,85.32,6.73,40.23,watermelon
18.79,50.33,26.72,31.65,61.46,7.24,46.22,mothbeans
30.91,64.24,56.06,31.7,84.52,6.7,141.81,papaya
51.97,58.9,78.66,19.04,12.08,7.56,78.19,chickpea
18.98,14.65,59.92,28.34,85.66,6.62,121.99,pomegranate
28.61,75.39,79.24,21.01,10.64,6.68,92.27,chickpea
61.32,63.46,43.93,37.01,85.21,6.66,166.17,papaya
34.55,76.77,21.09,17.09,62.11,7.98,42.69,lentil
24.4,122.0,199.82,21.89,89.36,5.49,106.29,apple
17.85,17.68,40.32,21.3,87.84,6.91,83.61,pomegranate
39.72,82.72,96.61,17.63,12.99,7.49,65.02,chickpea
4.08,30.32,26.24,31.95,54.67,6.31,64.86,mango
51.4,78.17,78.82,12.63,12.96,7.82,79.66,chickpea
22.38,15.27,36.33,22.15,84.18,6.26,89.81,pomegranate
83.87,8.62,56.78,21.15,83.34,6.68,49.21,watermelon
21.92,70.0,23.78,18.23,24.71,5.89,80.25,kidneybeans
29.2,47.97,30.14,28.87,79.21,6.17,32.48,mungbean
98.0,18.64,51.14,28.01,86.55,6.84,27.36,muskmelon
113.15,14.51,62.52,28.41,85.52,6.32,38.33,watermelon
9.36,63.11,27.37,17.62,28.56,5.12,104.76,kidneybeans
119.74,15.41,29.39,29.29,98.37,6.77,19.7,muskmelon
24.83,22.9,29.29,31.27,50.86,6.2,107.87,mango
94.53,37.98,36.72,23.82,74.68,6.35,240.44,rice
45.43,65.03,29.84,31.95,53.8,7.33,65.12,blackgram
40.89,66.97,73.82,18.05,19.08,7.78,77.91,chickpea
136.07,84.17,45.35,23.47,82.34,6.71,95.05,banana
31.48,65.06,7.75,32.45,63.36,7.55,60.63,blackgram
12.44,53.47,29.1,28.35,40.5,5.91,119.23,pigeonpeas
42.19,51.42,47.71,33.5,90.42,7.16,154.7,papaya
34.04,65.18,21.8,29.77,37.85,6.65,156.07,pigeonpeas
7.34,35.6,15.51,21.89,85.24,6.6,31.27,mungbean
24.55,7.32,42.69,21.43,93.74,6.36,140.9,coconut
120.83,36.7,0.0,28.05,84.32,7.11,70.89,cotton
31.18,134.11,196.6,26.88,85.23,5.73,50.08,grapes
22.68,126.37,184.73,21.34,93.17,5.74,78.69,apple
21.07,64.05,17.34,23.07,52.62,7.01,44.6,lentil
84.25,72.28,45.5,24.73,81.12,5.22,77.64,banana
94.91,47.66,35.35,24.64,71.27,6.63,192.21,jute
29.48,138.98,193.06,23.03,85.61,6.26,110.52,apple
22.06,8.5,36.03,20.83,84.5,7.12,89.93,pomegranate
16.17,133.89,197.31,18.73,100.0,5.71,67.65,apple
19.34,47.43,27.61,29.58,84.05,6.62,53.1,mungbean
82.1,2.33,60.18,24.11,91.11,6.7,20.08,muskmelon
89.98,18.97,47.68,27.88,43.11,6.49,156.06,coffee
99.84,33.43,29.73,23.98,57.4,6.81,142.38,coffee
31.82,53.32,21.73,22.61,43.29,5.38,131.76,pigeonpeas
74.58,54.66,54.33,26.6,84.61,7.07,188.78,jute
27.06,60.48,16.24,18.8,18.82,5.67,146.99,kidneybeans
118.36,66.29,40.68,20.14,76.09,6.31,91.72,banana
87.09,42.56,27.86,29.66,71.11,5.38,59.41,maize
72.27,42.56,31.54,21.52,85.7,7.09,143.17,jute
116.83,33.62,15.75,20.51,58.56,5.98,108.78,maize
39.29,80.16,24.82,27.29,46.3,5.32,152.32,pigeonpeas
11.46,19.49,37.93,26.57,58.46,5.59,87.23,mango
32.51,56.82,32.26,19.5,14.0,5.85,63.0,kidneybeans
28.37,7.28,33.32,17.01,81.23,6.44,143.12,pomegranate
100.79,25.36,47.99,26.14,84.8,6.46,53.11,watermelon
38.3,81.37,18.53,28.94,61.14,7.54,95.44,blackgram
75.36,42.22,16.17,28.02,55.84,6.21,76.21,maize
79.01,32.89,33.48,25.14,77.7,6.01,270.25,rice
15.02,50.83,23.97,31.21,43.4,5.64,60.3,mothbeans
11.93,45.37,22.8,13.31,21.48,5.59,118.58,kidneybeans
17.88,17.97,56.98,31.73,43.19,6.15,110.38,mango
131.2,45.65,13.58,21.23,89.51,7.28,109.15,cotton
53.89,47.8,42.67,30.42,88.38,6.57,135.34,papaya
29.9,48.8,12.26,27.07,48.09,6.45,61.75,mothbeans
122.52,50.54,11.85,25.08,78.63,7.01,69.13,cotton
40.39,50.31,21.19,31.54,96.72,7.05,57.49,mungbean
19.55,22.54,1.31,22.26,91.65,7.29,106.25,orange
71.17,41.86,53.73,22.46,76.66,6.48,174.61,jute
32.86,46.79,14.35,24.82,78.63,7.05,63.16,blackgram
25.3,56.89,34.79,30.53,90.81,6.47,36.44,mungbean
93.69,45.97,34.39,25.5,73.88,5.87,129.62,coffee
94.58,96.36,31.72,20.79,80.45,5.82,100.15,banana
14.15,72.58,25.48,34.39,46.6,6.13,152.94,pigeonpeas
40.5,47.07,53.2,32.67,91.02,7.26,155.73,papaya
20.55,101.89,197.33,23.35,93.77,6.26,104.25,apple
12.7,20.63,46.82,24.85,83.87,7.28,122.35,pomegranate
80.51,32.3,21.87,16.78,65.65,6.72,45.13,maize
6.63,54.1,35.2,31.63,54.92,6.08,92.19,mango
23.76,4.53,49.29,26.79,93.56,5.51,175.6,coconut
7.39,133.95,203.63,25.49,92.9,5.36,92.81,apple
16.02,70.76,7.93,24.55,68.62,7.58,37.29,lentil
85.62,34.19,31.46,27.28,81.55,6.47,153.54,jute
11.74,50.95,15.28,27.6,53.58,6.05,40.65,mothbeans
0.77,78.92,25.38,19.5,53.17,7.57,37.63,lentil
32.45,2.41,37.84,24.47,99.66,5.28,203.81,coconut
33.56,37.61,29.49,33.62,60.57,7.0,57.45,blackgram
67.87,28.36,62.45,24.12,85.68,6.4,213.46,jute
17.28,50.0,9.14,28.67,87.76,6.97,28.63,mungbean
109.13,53.07,8.96,25.88,90.69,7.13,89.57,cotton
102.55,22.61,56.37,23.57,82.34,6.76,58.58,watermelon
22.19,127.34,198.97,26.09,89.81,6.14,112.75,apple
32.43,127.65,196.88,20.01,78.29,6.21,70.11,grapes
19.34,13.07,23.65,27.27,93.03,6.1,134.44,coconut
24.87,143.65,206.25,23.49,88.76,5.05,100.78,grapes
103.29,13.2,41.64,21.71,98.84,6.4,26.89,watermelon
79.51,24.33,39.11,21.09,85.35,6.38,192.4,rice
16.34,20.11,34.68,34.93,59.37,5.3,120.78,mango
10.76,34.25,45.27,36.71,72.92,5.44,151.48,mango
102.89,33.07,25.99,28.9,54.81,6.02,140.22,coffee
27.96,21.26,36.61,20.83,90.1,6.08,118.58,pomegranate
108.59,85.97,59.32,28.19,78.44,5.68,95.02,banana
23.81,143.67,215.88,21.95,86.01,6.31,86.1,grapes
77.31,56.59,36.35,22.05,79.18,6.36,187.3,jute
5.53,3.09,10.04,18.02,100.0,6.18,94.0,orange
105.13,38.68,10.06,22.57,76.42,5.95,90.5,cotton
31.14,27.22,33.17,33.43,44.2,5.82,97.51,mango
49.05,72.06,42.87,32.21,80.32,7.39,115.24,papaya
98.85,27.51,43.04,33.59,88.64,6.44,22.75,muskmelon
18.55,23.23,21.43,32.29,41.21,6.51,53.95,mothbeans
56.24,61.24,41.59,24.21,78.11,5.89,189.83,jute
42.83,62.51,96.07,20.47,19.67,7.57,97.6,chickpea
15.43,48.33,27.47,27.33,61.52,7.53,39.0,mothbeans
19.74,22.81,65.3,17.03,84.4,6.1,107.64,pomegranate
109.38,28.88,39.74,29.77,86.42,6.5,45.23,watermelon
25.24,53.11,12.05,29.26,46.15,6.85,34.83,mothbeans
147.0,40.51,13.18,24.89,84.3,7.26,65.57,cotton
59.45,63.6,70.18,33.13,94.89,6.12,121.38,papaya
100.21,24.29,66.13,27.19,84.58,7.05,23.7,watermelon
18.06,26.1,16.36,24.88,48.14,6.73,61.49,mothbeans
91.81,56.59,31.79,27.89,84.06,6.61,305.87,rice
38.56,22.83,48.63,25.74,96.11,6.44,152.59,coconut
16.43,46.13,17.1,21.98,49.89,6.65,57.6,mothbeans
18.06,45.02,28.56,31.82,52.11,6.61,49.33,mothbeans
99.53,55.62,20.26,19.99,66.68,5.96,125.27,maize
72.4,40.29,42.32,20.66,74.96,5.84,221.46,rice
69.61,32.82,27.16,21.82,72.98,5.96,90.58,maize
21.84,13.02,19.15,26.69,95.25,6.11,229.26,coconut
